timestamp,forecast_horizon,scenario_name,stat_name,value
2023-02-28,2,gas_shock,p25,81.49816271058657
2023-02-28,2,gas_shock,p50,102.49976540575426
2023-02-28,2,gas_shock,p75,124.49103893619166
2023-02-28,2,gas_shock,p95,156.7621171861174
2023-02-28,2,gas_shock,mean,104.02328883828528
2023-03-31,3,gas_shock,p5,50.703987260455676
2023-03-31,3,gas_shock,p25,82.36148967568893
2023-03-31,3,gas_shock,p50,105.80651003043526
2023-03-31,3,gas_shock,p75,128.06276527389008
2023-03-31,3,gas_shock,p95,159.26088620383203
2023-03-31,3,gas_shock,mean,105.06071623031939
2023-04-30,4,gas_shock,p5,51.20653421059997
2023-04-30,4,gas_shock,p25,82.90117019923687
2023-04-30,4,gas_shock,p50,105.79300441855449
2023-04-30,4,gas_shock,p75,126.88076452222305
2023-04-30,4,gas_shock,p95,160.94593703109618
2023-04-30,4,gas_shock,mean,105.02480798858171
2023-05-31,5,gas_shock,p5,52.62696244225693
2023-05-31,5,gas_shock,p25,84.37898392400083
2023-05-31,5,gas_shock,p50,105.91357918763467
2023-05-31,5,gas_shock,p75,125.6428418384438
2023-05-31,5,gas_shock,p95,154.63783473555364
2023-05-31,5,gas_shock,mean,105.14704966235686
2023-06-30,6,gas_shock,p5,54.7074912337004
2023-06-30,6,gas_shock,p25,81.50339972407924
2023-06-30,6,gas_shock,p50,103.92694177943798
2023-06-30,6,gas_shock,p75,125.63421745583791
2023-06-30,6,gas_shock,p95,155.77499297914264
2023-06-30,6,gas_shock,mean,103.65089159871854
2023-07-31,7,gas_shock,p5,54.00027154084
2023-07-31,7,gas_shock,p25,83.06339441371028
2023-07-31,7,gas_shock,p50,105.124423808736
2023-07-31,7,gas_shock,p75,128.0697090646164
2023-07-31,7,gas_shock,p95,157.03105858279335
2023-07-31,7,gas_shock,mean,105.43113545642832
2023-08-31,8,gas_shock,p5,55.65538716069905
2023-08-31,8,gas_shock,p25,84.83444775884278
2023-08-31,8,gas_shock,p50,107.07239309263173
2023-08-31,8,gas_shock,p75,126.98472428487041
2023-08-31,8,gas_shock,p95,154.14349676185003
2023-08-31,8,gas_shock,mean,106.1898790186898
2023-09-30,9,gas_shock,p5,52.58522591333962
2023-09-30,9,gas_shock,p25,83.35514315092459
2023-09-30,9,gas_shock,p50,106.67853449854871
